id,first_name,last_name,Hourly rate,Hours worked,ip_address
532,Ulrikaumeko,McLardie,17.74,17,64.195.41.124
533,Dee,Pilbury,15.41,30,103.115.236.26
534,Bernice,Hollibone,18.4,37,184.209.164.253
535,Grayce,Sent,10.66,28,228.83.92.235
536,Emelda,Torbard,16.96,40,73.253.159.153
537,Jenine,Crace,11.05,29,235.166.54.191
538,Harwell,Yanne,7.27,10,126.182.87.98
539,Kirsteni,Witcherley,16.42,16,163.54.183.199
540,Madison,Dudney,17.16,39,236.100.54.64
541,Eberto,Bruins,8.71,16,168.95.61.162
542,Sioux,Renahan,11.54,16,67.38.110.15
543,Larry,Alcoran,15.19,23,167.192.73.138
544,Hodge,Mathelon,7.51,11,251.205.104.160
545,Hillier,Hutchison,18.24,21,96.120.239.82
546,Layne,Brighty,15.6,23,22.219.131.85
547,Sterne,Jiruch,18.57,11,131.113.62.34
548,Emmy,Varrow,17.52,9,177.146.28.44
549,Dukie,Kemet,17.95,15,176.4.173.39
550,Dorene,Catterell,14.27,34,206.1.51.124
551,Stormie,Blowfelde,17.73,23,67.10.130.15
552,Vincenty,Heed,9.03,40,107.62.27.2
553,Ethelyn,Hultberg,17.01,36,45.143.146.165
554,Fenelia,Shankland,14.2,36,45.246.154.248
555,Arleen,Brevetor,16.28,31,242.113.194.101
556,Arlinda,Trinkwon,14.99,34,210.195.210.116
557,Kass,McNeilley,11.85,37,166.233.28.122
558,Brennan,Manley,15.78,27,12.176.234.56
559,Adelaida,Vasilchenko,15.27,17,244.65.42.13
560,Berty,Smethurst,14.78,20,216.180.44.141
561,Teodorico,Escreet,17.81,15,13.4.66.205
562,Miof mela,Tommasuzzi,16.3,37,237.225.93.193
563,Irvin,Coxhead,8.62,33,44.140.96.196
564,Luke,Barratt,13.18,37,26.178.183.142
565,Morgen,Colman,13.18,37,194.190.24.8
566,Malinda,Gouldthorp,7.3,14,30.61.207.117
567,Borden,Mann,12.04,17,226.104.123.151
568,Elsinore,Waleworke,16.79,13,169.236.80.22
569,Reider,Krolle,11.97,39,23.225.68.20
570,Murvyn,Bleier,17.03,38,208.213.250.211
571,Raleigh,Mucci,11.38,31,235.15.118.187
572,Andonis,Yaknov,17.01,39,143.18.178.144
573,Josepha,Shinefield,13.58,18,207.90.213.192
574,Ramon,Harhoff,10.97,33,208.156.72.143
575,King,Hindrick,9.03,39,98.234.18.93
576,Ban,MacDonogh,8.15,27,237.174.130.244
577,Bartram,Nairns,13.67,14,92.49.26.163
578,Brit,Gandey,14.26,26,121.139.0.235
579,Robbie,Kinsey,14.3,35,148.194.179.120
580,Zelda,Wesgate,12.33,28,167.247.208.220
581,Thatch,Hedingham,11.6,30,40.151.33.11
582,Talyah,Hyde-Chambers,9.87,18,187.196.198.128
583,Sibelle,Whaymand,16.47,22,216.63.221.4
584,Kaja,Rosendall,8.65,19,27.92.51.145
585,Lanie,Breffitt,13.2,8,255.142.128.14
586,Maiga,Thurstance,13.1,11,31.246.13.140
587,Gianni,Laying,12.88,25,76.55.86.249
588,Lindie,Springate,18.28,32,47.116.21.3
589,Hildagarde,Venables,11.15,25,36.202.193.255
590,Annadiane,Wissbey,10.91,15,68.125.58.109
591,Muffin,Ferson,11.13,37,18.174.238.204
592,Flint,MacCook,14.31,34,173.233.131.234
593,Aida,Dinsmore,12.95,28,92.32.199.3
594,Paquito,Gelder,7.62,21,119.121.41.90
595,Maggy,Le Claire,13.8,9,207.13.40.192
596,Gert,Rothert,18.97,31,52.224.224.108
597,Dita,Chung,16.05,39,150.61.135.192
598,Othilie,Boxell,12.12,20,202.38.39.43
599,Phedra,Wayland,15.81,27,215.42.250.210
600,Ruben,Chese,18.83,40,9.40.144.100
601,Casey,Matterson,17.35,39,133.122.3.83
602,Jorrie,Dukelow,16.23,36,2.98.68.171
603,Trescha,Spieck,12.05,36,168.103.244.197
604,Aguie,Farry,16.97,8,24.155.130.78
605,Ardyce,Ossipenko,9.81,29,232.84.204.44
606,Camilla,Filipchikov,8.11,38,253.19.216.145
607,Bar,MacCaull,13.78,15,151.187.194.9
608,Kori,Leither,10.83,29,255.232.9.107
609,Benyamin,Devil,11.09,17,232.165.127.230
610,Chanda,Newvell,11.97,15,166.223.25.3
611,Elisabetta,Mabley,13.71,35,170.115.124.125
612,Charlton,Medendorp,9.74,17,221.202.77.221
613,Dani,Hayden,8.18,30,48.34.124.62
614,Jorge,Dudden,12.21,20,152.175.214.38
615,Teddi,Loveguard,18.9,38,185.84.212.99
616,Maryrose,Mordan,9.17,23,117.38.51.130
617,Kitti,Barkly,18.78,34,170.140.110.8
618,Jaynell,Tobias,9.69,10,25.203.36.225
619,Ofilia,Allen,13.8,21,101.18.121.196
620,Marquita,Wanderschek,7.89,8,24.248.182.39
621,Warren,Drillingcourt,15.02,35,126.183.120.209
622,Muriel,Spain,16.32,28,196.224.50.4
623,Montague,Wilshin,13.81,32,37.110.213.60
624,Fianna,Voaden,8.21,28,143.67.111.241
625,Broddie,Rosenthaler,9.28,38,158.25.180.162
626,Marianna,Dignall,16.14,24,103.234.197.227
627,Nancie,McCadden,8.45,31,125.8.135.119
628,Cob,Juniper,8.74,24,118.251.159.75
629,Sibylla,Biggam,15.09,40,146.215.219.33
630,Reinald,Bonnick,14.24,38,66.243.194.235
631,Melli,Stairs,13.49,13,243.161.254.70
632,Brenn,Sorbie,9.43,35,92.54.105.209
633,Donavon,Volker,12.19,38,141.140.255.11
634,Normand,Huckin,11.27,11,242.245.97.60
635,Ester,Glyssanne,12.18,36,125.78.97.56
636,Windham,Belden,8.63,9,59.236.46.62
637,Grady,Willers,14.54,34,33.150.191.163
638,Grantley,Kinsley,7.81,21,232.109.66.116
639,Shermie,Taks,11.63,13,26.86.248.160
640,Norah,Burbidge,12.94,32,10.157.177.139
641,Aloise,Campany,8.99,16,238.242.236.190
642,Maje,Macourek,14.18,30,132.58.231.7
643,Leola,Scollard,10.94,40,17.102.147.25
644,Creight,Lindenstrauss,9.88,19,241.217.199.150
645,Briny,Janusik,8.24,8,218.85.171.200
646,Angelico,Giffin,16.42,8,89.77.225.34
647,Merrile,Puden,7.86,26,18.179.13.104
648,Malva,Savatier,12.57,32,133.191.37.121
649,Chickie,Swalwel,18.05,12,238.136.168.71
650,Forrest,Tyne,13.71,34,113.90.93.208
651,Sherrie,Snufflebottom,14.26,13,133.120.206.96
652,Analise,Ilive,12.02,19,236.49.250.51
653,Deb,Haskayne,9.69,12,144.178.232.40
654,Starr,Gasperi,7.91,13,254.243.112.156
655,Lethia,Blackster,7.66,29,241.101.45.143
656,Josefa,Pasby,15.86,20,120.250.11.148
657,Elianora,Wilber,14.95,30,212.9.55.91
658,Felipa,Savine,9.84,10,88.197.36.156
659,Cornie,Bortolussi,9.09,16,36.220.227.212
660,Pearl,Bosch,15.98,15,83.73.44.213
661,Hilary,Garman,12.54,40,190.252.137.82
662,Waverly,Hurkett,14.02,29,212.22.201.100
663,Selma,Rowes,16.35,31,68.111.83.47
664,Chase,Readshall,10.98,24,224.24.123.184
665,Shurwood,Van Velde,8.03,35,206.246.87.100
666,Roby,Bott,7.5,31,72.175.143.41
667,Erv,Phillot,10.03,31,182.147.45.22
668,Fey,Leabeater,17.94,27,116.21.181.211
669,Dunstan,Brearley,7.41,23,86.74.249.137
670,Edwin,Colcomb,8.22,27,184.186.201.141
671,Jessey,Linham,9.53,10,72.164.17.148
672,Teri,Hinchon,8.07,33,141.7.13.73
673,Joana,Crack,18.33,38,69.36.66.238
674,Catharina,Moscrop,12.8,30,190.252.236.16
675,Jillana,Durant,7.32,30,102.28.118.126
676,Suzy,Parramore,10.22,32,35.248.164.104
677,Rosalia,Jickells,11.21,30,237.215.247.53
678,Myrah,Storer,17.42,29,37.168.214.77
679,Mitchael,Farncombe,11.96,28,199.237.68.199
680,Gallard,Peerless,13.32,20,21.199.73.136
681,Yelena,Kneale,15.01,20,61.93.218.236
682,Kimmy,Franc,8.43,37,124.51.255.114
683,Konstanze,Caunt,13.42,38,90.121.220.170
684,Baird,Hadye,16.22,28,88.139.229.171
685,Blondie,Jenteau,9.47,14,160.214.32.120
686,Maurie,Klemencic,18.25,9,109.192.28.165
687,Deloris,Aingel,15.17,12,86.166.13.144
688,Conny,Carlin,7.96,9,81.128.71.193
689,Jorry,Simms,18.59,17,189.61.250.181
690,Cairistiona,Jeggo,11.73,10,241.225.39.80
691,Paulie,Hollingdale,16.69,31,48.36.80.234
692,Stanislaus,Spurrett,16.97,13,119.221.170.123
693,Merwin,Ricca,14.89,12,215.93.136.65
694,Phillie,Edworthye,11.98,31,54.57.208.76
695,Waly,Quincee,8.8,20,1.133.188.0
696,Jermayne,Henrique,11.09,16,37.70.125.23
697,Clayton,Dunmuir,12.57,25,222.230.248.197
698,Brittni,Treske,7.76,39,108.19.231.10
699,Elizabet,Bonnick,8.09,9,126.114.44.170
700,Timmy,Quinnelly,12.23,20,46.124.49.171
701,Marketa,O'Gaven,18.88,8,6.250.131.98
702,Abbey,Hanigan,7.89,32,173.28.233.111
703,Corella,Piell,13.06,8,70.156.126.80
704,Janelle,Dicke,10.98,10,179.150.69.70
705,Harv,Louden,11.96,24,8.255.50.230
706,Holmes,Wort,18.99,33,65.31.115.192
707,Gil,Shoutt,14.1,20,83.214.231.216
708,Jdavie,Jostan,15.76,23,51.218.125.117
709,Aurthur,Coupland,17.63,34,238.190.63.62
710,Adora,Bees,14.26,28,72.198.103.80
711,Gerardo,Wild,15.89,9,207.228.48.150
712,Dagny,Belitz,18.96,26,188.12.250.16
713,Hertha,O'Gready,16.27,35,168.31.186.196
714,Estella,Rudinger,16.5,9,234.156.140.156
715,Nealon,Djokovic,9.88,32,171.194.216.23
716,Rianon,Franzotto,9.24,32,92.253.183.146
717,Josee,Ansteys,17.72,13,128.161.65.146
718,Ange,Lowey,15.8,25,61.150.26.9
719,Wynn,Scrancher,13.54,22,3.78.208.137
720,Hodge,Perschke,17.91,16,94.83.52.223
721,Waldon,Bridal,13.92,23,239.242.64.153
722,Diane-marie,Fridaye,15.96,17,186.166.221.220
723,Brinna,Jerosch,8.47,25,124.202.51.146
724,Jere,Hayford,9.38,28,168.135.114.48
725,Shayne,Pridham,7.69,23,255.165.139.222
726,Elwyn,Schorah,13.63,15,55.75.46.59
727,Graig,Lembrick,8.22,35,102.165.181.175
728,Valentina,Pfaffel,10.23,36,72.38.95.49
729,Luis,Brombell,10.53,8,47.28.249.241
730,Kelcie,Eicke,16.42,18,128.219.203.20
731,Jamima,Antonoczyk,9.51,32,46.214.89.29
732,Damita,Ferry,10.99,34,36.207.206.177
733,Grover,Brizland,9.29,23,252.62.145.77
734,Rawley,West-Frimley,11.72,27,225.246.223.131
735,Walker,Babidge,11.82,15,192.121.56.79
736,Arlen,Mee,18.92,8,176.14.164.188
737,Jermaine,Farncombe,10.15,11,16.230.236.232
738,Chrysa,Baseley,12.43,23,94.191.81.26
739,Anthia,Brockley,15.98,13,129.103.79.105
740,Levon,Seydlitz,15.63,15,195.252.151.27
741,Lenee,Haffard,14.28,31,81.165.64.28
742,Courtney,Hutcheson,12.74,40,64.180.231.5
743,Rolando,O Sullivan,13.05,21,111.47.141.8
744,Boycie,Fyall,10.1,32,15.204.231.121
745,Anitra,Lehon,12.47,35,146.10.5.247
746,Ogdon,Rootes,15.45,10,128.57.144.30
747,Ira,Roswarn,18.99,22,55.195.230.187
748,Janna,Tremmil,12.47,38,104.181.28.188
749,Teriann,Faveryear,11.73,39,12.25.113.75
750,Cindra,Maasz,12.67,23,226.151.146.68
751,Yank,McGarvie,13.13,27,126.137.68.38
752,Adela,Campe,17.12,9,155.235.241.157
753,Panchito,Shuter,12.1,18,239.186.213.215
754,Eddi,Aris,8.45,40,90.10.1.231
755,Teodora,Pearcehouse,12.24,40,182.54.98.76
756,Dela,Hassen,14.89,20,41.144.33.121
757,Jase,Poznan,12.69,35,62.249.111.88
758,Bettye,Jeratt,14.22,28,31.6.222.230
759,Alta,Bridgeman,11.7,31,152.131.88.102
760,Cicely,Reicherz,13.14,38,122.54.252.207
761,Desi,Cumes,16.37,20,176.99.77.73
762,Cullen,Cassius,15.47,36,183.123.187.50
763,Maxie,Lowdiane,9.0,9,217.105.37.151
764,Carlo,Storie,11.58,35,61.44.156.158
765,Agretha,Allbon,11.3,34,229.145.233.27
766,Kenyon,De Courtney,16.59,14,51.191.205.171
767,Ardyce,Iacopetti,9.58,19,79.36.100.222
768,Hebert,Storms,17.53,8,218.234.56.116
769,Concettina,Mungan,10.11,25,161.179.158.150
770,Ernesto,Ridgeway,10.05,36,130.82.206.39
771,Katine,Conkling,14.04,19,79.122.50.98
772,Florencia,Paulino,12.7,12,65.33.132.201
773,Christi,Agneau,13.06,35,203.52.4.242
774,Beniamino,Jachimczak,8.29,29,74.215.78.159
775,Camel,Harper,10.72,21,31.122.150.104
776,Hyacinthia,Frankiewicz,11.26,18,225.121.125.129
777,Orel,Wall,16.31,18,217.99.233.21
778,Krystle,Hanalan,10.06,29,174.166.84.240
779,Siegfried,Pantridge,18.86,39,74.42.38.169
780,Mark,Abrey,10.05,32,149.190.131.77
781,Tova,Pinnock,18.9,40,53.46.32.153
782,Valle,Aldwich,13.98,24,233.224.34.59
783,Shea,Cozby,12.56,33,7.33.8.113
784,Essie,Dingate,17.09,21,173.44.170.172
785,Budd,Chasle,18.42,36,6.65.124.194
786,Cy,Channon,8.71,14,152.121.165.17
787,Karel,McKerlie,9.69,23,211.218.183.253
788,Denise,Yate,11.43,33,180.71.178.106
789,Walton,Dounbare,11.75,11,255.3.216.252
790,Ax,Blinco,17.76,14,140.217.166.148
791,Helenelizabeth,Heineking,11.6,11,75.49.230.115
792,Hermie,Reggler,16.51,35,71.203.200.180
793,Toma,Crumley,10.74,20,139.46.164.148
794,Rana,Ketteridge,18.52,31,44.135.171.206
795,Enrika,Amar,11.34,14,108.67.95.56
796,Esther,Pachta,18.63,22,103.149.78.157
797,Rog,Cowlin,12.04,22,235.84.66.128
798,Wyatan,Fomichyov,11.76,15,134.44.82.231
799,Ferdinande,Gozard,9.45,12,216.156.17.50
800,Antonia,Ream,9.93,36,75.133.20.191
801,Cloris,Collaton,9.22,13,242.69.111.146
802,Chase,Schlagh,14.6,15,119.247.166.125
803,Andee,Elstow,17.35,28,41.132.159.145
804,Ivor,Jeannet,9.83,16,186.240.194.98
805,Garrett,Pleming,11.65,8,189.250.61.55
806,Sid,Hollows,9.89,14,169.112.18.31
807,Obediah,Collinson,8.54,12,99.114.156.123
808,Roseann,Shireff,11.17,17,153.135.161.214
809,Danni,Steeden,10.27,14,129.224.221.84
810,Nolan,Shaxby,10.47,35,42.196.58.1
811,Trefor,Partrick,7.42,18,128.0.170.36
812,Brendon,Emerson,14.75,20,44.22.59.136
813,Ambros,I'anson,9.89,30,230.53.94.244
814,Dorise,Giacomuzzo,13.68,8,123.129.174.237
815,Bevan,Faux,12.14,30,236.245.69.145
816,Heinrik,Titchen,11.56,26,236.102.10.241
817,Ginni,Howick,15.08,39,247.10.48.0
818,Charmane,Peace,16.97,13,224.161.11.8
819,Tatum,Vedenyapin,12.67,29,93.141.24.217
820,Minne,Paulat,11.82,8,63.100.134.234
821,Hi,Martinie,17.88,36,100.104.231.193
822,Bernie,Durkin,8.6,24,197.154.221.189
823,Darla,Brimilcombe,18.46,29,80.241.151.105
824,Linda,Gauson,14.49,35,250.3.4.41
825,Archaimbaud,Northridge,12.0,15,27.63.253.93
826,Aimil,Dabnot,16.66,23,148.144.104.127
827,Talya,Denidge,9.25,29,212.178.188.174
828,Neal,Lowrey,13.17,17,189.171.186.152
829,Robby,Barratt,18.3,35,210.211.42.147
830,Shaughn,Spadollini,8.56,12,171.177.49.242
831,Davina,Neames,14.21,32,117.152.64.219
832,Berthe,Francklyn,9.51,26,226.198.182.239
833,Luther,Habberjam,7.28,8,225.54.70.130
834,Skye,Coetzee,18.02,38,119.71.167.25
835,Angil,Foucher,18.85,10,56.176.35.148
836,Antoni,Mingey,9.16,38,99.31.146.32
837,Lilah,Thorpe,15.95,10,196.100.248.38
838,Hinze,Nelhams,18.07,15,95.209.72.250
839,Meggy,Kellart,9.74,33,43.0.67.175
840,Tucky,Brierton,12.22,10,168.230.132.181
841,Livy,Excell,13.03,8,249.194.234.200
842,Danila,Colbridge,11.76,31,167.158.106.251
843,Bernelle,Braybrooke,9.58,20,237.203.57.150
844,Chaunce,Sims,18.02,14,61.45.174.91
845,Tarrah,Battams,15.57,39,49.232.7.11
846,Brendon,Shireff,11.84,34,3.123.142.75
847,Laird,Indruch,10.23,34,126.37.112.61
848,Illa,Matuszinski,9.62,20,180.121.149.1
849,Raddy,Bresner,12.7,9,60.176.88.197
850,Carlynn,Basile,14.43,21,151.69.126.148
851,Ginevra,Troak,10.31,35,115.78.78.237
852,Tammie,Bohman,16.95,34,127.28.130.250
853,Monique,Ivanyushin,10.52,25,243.183.133.222
854,Keary,Dunrige,16.74,23,150.236.232.63
855,Arel,Sargood,10.33,16,203.24.45.166
856,Finley,Pallis,9.53,23,53.198.41.19
857,Phylys,Bellanger,12.88,38,215.21.214.1
858,Stefan,Scothorne,16.69,22,161.220.213.194
859,Emmalynne,MacCall,17.2,25,143.191.65.186
860,Verney,Cogin,11.89,19,158.123.177.162
861,Coralie,Kerry,10.45,11,8.86.143.71
862,Othelia,Norssister,11.03,24,127.30.89.131
863,Imojean,Snowball,12.48,28,122.150.197.83
864,Wini,Bringloe,15.36,23,221.26.178.2
865,Cilka,Hanrahan,16.3,8,180.186.235.74
866,Fredrika,Duckinfield,13.73,14,145.124.201.164
867,Concettina,Lindley,14.16,28,208.12.41.76
868,Arley,Stepney,16.51,37,144.53.135.25
869,Cyrill,Wildblood,8.13,9,128.36.91.176
870,Shelden,Kenewell,17.5,8,158.17.228.159
871,Rafe,Czaple,9.39,38,184.134.181.163
872,Lia,Clymer,9.99,12,140.7.144.163
873,Abie,Campkin,8.55,24,134.115.165.70
874,Lana,Benedek,13.47,15,71.117.30.229
875,Aubrey,Geratt,19.0,32,251.108.26.78
876,Axel,Betty,18.09,9,226.218.166.30
877,Adolphus,Goodinson,10.38,12,17.98.148.169
878,Quentin,de'-Ancy Willis,16.2,12,115.254.176.80
879,Ermina,Walls,8.87,10,207.156.218.128
880,Horten,Pudge,8.56,10,172.171.83.97
881,Bartolemo,Haccleton,10.58,9,231.82.149.130
882,Ilario,Fishe,17.31,13,163.104.158.247
883,Margaretta,Needs,7.49,38,29.220.41.140
884,Davida,Presidey,14.51,37,188.56.103.134
885,Whitney,Whittleton,10.11,40,27.31.173.190
886,Holmes,Allmark,10.27,14,183.78.144.87
887,Loralie,Conws,8.63,20,82.150.102.189
888,Ambur,Tenney,10.16,20,136.220.244.120
889,Gal,Warman,16.81,37,137.219.165.164
890,Zeb,Yashnov,18.55,18,178.178.180.6
891,Jerrie,Gristock,9.39,26,84.92.147.46
892,Pembroke,Sixsmith,15.36,33,44.237.45.240
893,Vivianna,Labro,17.05,30,62.41.242.228
894,Keslie,Mongin,8.22,21,59.230.141.221
895,Candra,MacAlpyne,16.1,12,222.255.182.18
896,Maurits,Leisman,12.74,8,56.223.6.148
897,Tristam,Farlam,17.1,21,23.17.184.210
898,Shell,Taberner,15.32,32,231.57.81.95
899,Mordy,Matisoff,14.87,30,165.80.253.81
900,Curtice,Triggle,9.02,13,195.39.47.28
901,Catriona,Quarlis,8.16,24,21.35.93.218
902,Leland,Herculson,12.17,17,44.161.136.177
903,Meir,Badman,16.41,34,57.173.32.187
904,Ethelin,Purdie,11.46,29,125.73.72.93
905,Tamarra,Truter,8.87,29,34.118.91.166
906,Guenna,Streetfield,16.06,19,100.169.97.166
907,Griz,Dibden,14.17,17,236.74.96.62
908,Julie,Adderson,8.69,20,193.25.42.206
909,Terrence,Weond,9.77,14,68.53.75.198
910,Ingra,Arendt,17.43,39,146.164.86.130
911,Pippa,Matyugin,8.19,28,213.23.56.219
912,Sean,Wyvill,8.2,19,217.21.86.208
913,Elianore,Petrichat,11.24,26,111.237.68.42
914,Franz,Venmore,13.01,22,200.5.186.86
915,Annora,Hallen,12.92,32,82.18.147.46
916,Trixy,Shawe,11.15,34,69.66.180.192
917,Sal,Fleeming,8.31,26,119.238.67.227
918,Derward,Harden,8.73,38,231.205.16.36
919,Celle,Blackney,17.12,21,216.67.144.216
920,Horton,Blaine,18.82,34,190.234.162.2
921,Dalis,Grotty,14.77,33,104.157.142.133
922,Eudora,Beamish,14.39,12,38.11.198.213
923,Phillie,Exrol,8.84,33,52.16.169.172
924,Westbrooke,Knock,15.74,39,217.200.191.196
925,Deborah,Pullen,17.52,39,105.199.212.133
926,Gwen,Tabourel,18.22,36,19.1.254.6
927,Hurlee,Mulryan,18.78,38,128.194.206.51
928,Jordain,Ranvoise,12.64,14,9.233.157.86
929,Hank,Shillito,10.0,33,111.3.164.144
930,Xylina,Skakunas,12.68,21,25.244.45.58
931,Briana,Ducarne,13.49,28,194.14.142.207
932,Manon,Hallihan,13.94,39,101.18.108.48
933,Timothee,Shafier,17.95,38,222.83.189.42
934,Bennie,Goodfellow,18.18,23,249.220.174.115
935,Marlena,Prodrick,16.46,18,147.139.17.229
936,Celeste,Estabrook,15.68,34,90.10.4.49
937,Dynah,Flowerdew,18.1,10,198.94.239.194
938,Leif,Rounding,11.93,14,51.18.51.28
939,Shane,Manna,12.26,38,140.91.125.253
940,Randy,Rewan,16.16,35,189.216.218.186
941,William,Adamiec,17.25,32,141.112.4.89
942,Griffin,Cordaroy,9.23,9,10.154.214.30
943,Burg,Hartup,17.56,21,135.186.50.158
944,Jay,Gosling,16.42,20,20.9.17.6
945,Jerrie,Oxbrough,8.45,39,170.230.235.178
946,Claudine,Pikhno,10.26,19,5.84.235.171
947,Judah,Fellnee,9.62,38,49.241.179.207
948,Henka,Kohlerman,17.15,18,127.215.254.234
949,Hephzibah,Wehden,9.21,22,65.181.255.102
950,Olympe,Gambie,14.96,40,16.165.235.58
951,Garwood,Folonin,8.83,37,252.85.61.244
952,Caryl,Newbigging,13.4,13,27.239.173.111
953,Arnie,Savage,11.27,37,33.144.137.79
954,Wanda,Rearie,10.98,35,241.30.23.182
955,Rebekah,Monnoyer,11.22,8,140.195.6.255
956,Blondelle,Ollet,11.79,23,163.208.128.117
957,Clarinda,Picford,15.92,21,17.85.208.32
958,Rog,Ruvel,8.48,27,58.63.122.226
959,Deva,Hudspeth,11.51,18,70.227.21.136
960,Natala,Morrill,15.45,12,254.251.142.187
961,Oralie,Krug,8.25,26,210.218.136.222
962,Hugibert,Beardsworth,13.11,31,222.187.73.249
963,Ketty,Casazza,11.33,37,106.155.3.220
964,Conant,Absolon,14.07,19,28.89.224.153
965,Sallie,Fosse,9.48,10,239.123.230.134
966,Gilles,Mulkerrins,15.78,17,230.206.95.180
967,Evelin,Duligal,18.31,20,195.15.76.69
968,Garry,Bland,9.82,15,52.73.60.165
969,Kitti,Waltering,8.18,29,48.239.147.17
970,Dion,McDonough,18.89,17,87.18.179.130
971,Gabey,Tesh,15.31,28,87.2.115.70
972,Burt,Christophe,14.25,11,16.94.122.13
973,Aura,Simmonite,16.64,31,166.192.84.241
974,Roldan,Gerriet,13.42,15,121.88.135.163
975,Skipp,Cutcliffe,12.52,38,187.195.11.154
976,Bradney,Firbank,14.16,31,175.34.246.164
977,Nikki,Clappison,16.88,11,184.216.57.245
978,Gregoire,Janecek,16.84,8,182.76.34.52
979,Donica,Poli,10.95,17,127.168.135.19
980,Bryan,Broadbear,16.45,38,7.91.221.143
981,Angie,Gimenez,10.23,26,253.68.97.160
982,Tony,Dennidge,17.33,34,209.139.124.68
983,Modesty,Stockow,14.13,21,188.136.74.93
984,Caspar,Iddison,14.9,16,0.194.102.29
985,Ganny,Adamides,8.03,16,74.245.166.119
986,Wyn,Hay,13.79,24,31.71.132.143
987,Colleen,Wellan,17.13,32,179.253.238.100
988,Kelly,Gourley,15.13,11,86.170.75.208
989,Reidar,Amerighi,15.95,26,107.112.99.153
990,Gerty,Crevagh,11.9,26,97.159.212.36
991,Maryjane,Melhuish,14.54,27,183.129.67.126
992,Del,Hedling,8.24,16,134.24.226.74
993,Janeta,Pattle,7.63,25,20.184.161.74
994,Kellen,Botfield,10.7,15,183.242.150.174
995,Mordecai,Sprey,12.51,13,213.45.239.58
996,Hyatt,Relton,9.9,18,88.96.123.111
997,Monro,Heel,11.17,10,141.14.105.130
998,Margalo,Rizzolo,15.05,40,11.201.53.58
999,Karlyn,Stoyles,12.31,24,129.66.128.210
1000,Antonio,Iveson,17.71,21,37.240.18.43
